model	cluster_id	bincode	name	nannot_sources	nspecies
Pp1s28_350V6.1	5104	10	cell wall	1	1
Pp1s69_160V6.1	5104	10	cell wall	1	1
Pp1s22_17V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s98_246V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s211_20V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s153_20V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s162_61V6.1	36	10.1	cell wall.precursor synthesis	1	1
Pp1s13_205V6.1	1885	10.1	cell wall.precursor synthesis	2	2
Pp1s104_141V6.1	1885	10.1	cell wall.precursor synthesis	2	2
Pp1s149_19V6.1	5807	10.1	cell wall.precursor synthesis	1	1
Pp1s194_128V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s88_1V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s195_8V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s88_1V6.2	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s194_128V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s195_8V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s263_3V6.1	670	10.1.10	cell wall.precursor synthesis.RHM	3	1
Pp1s307_8V6.2	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s307_6V6.1	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s307_8V6.1	6017	10.1.11	cell wall.precursor synthesis.UER	1	1
Pp1s114_202V6.1	1956	10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose	2	1
Pp1s323_19V6.1	1956	10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose	2	1
Pp1s276_103V6.1	7354	10.1.1.2	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP fucose and fucokinase	1	1
Pp1s2_145V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s269_25V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s2_146V6.1	4892	10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars	2	2
Pp1s294_43V6.1	10091	10.1.12.1	cell wall.precursor synthesis.KDO pathway.arabinose-5-phosphate isomerase	1	1
Pp1s12_229V6.1	6097	10.1.12.2	cell wall.precursor synthesis.KDO pathway.KDO-8-Phosphate Synthase	4	1
Pp1s31_106V6.1	5840	10.1.12.4	cell wall.precursor synthesis.KDO pathway.CMP-KDO Synthetase	1	1
Pp1s431_36V6.1	5840	10.1.12.4	cell wall.precursor synthesis.KDO pathway.CMP-KDO Synthetase	1	1
Pp1s133_100V6.1	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s221_46V6.1	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s101_67V6.3	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s1_372V6.1	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s187_11V6.1	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s101_67V6.1	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s101_67V6.2	1010	10.1.2	cell wall.precursor synthesis.UGE	4	1
Pp1s195_48V6.2	2094	10.1.20	cell wall.precursor synthesis.phosphomannose isomerase	2	1
Pp1s15_422V6.1	2094	10.1.20	cell wall.precursor synthesis.phosphomannose isomerase	2	1
Pp1s195_48V6.1	2094	10.1.20	cell wall.precursor synthesis.phosphomannose isomerase	2	1
Pp1s15_422V6.2	2094	10.1.20	cell wall.precursor synthesis.phosphomannose isomerase	2	1
Pp1s137_89V6.1	3641	10.1.21	cell wall.precursor synthesis.phosphomannomutase	1	1
Pp1s379_19V6.1	2601	10.1.3	cell wall.precursor synthesis.AXS	2	1
Pp1s156_77V6.1	7364	10.1.30.1	cell wall.precursor synthesis.sugar kinases.galacturonic acid kinase	1	1
Pp1s386_19V6.1	3009	10.1.30.2	ell wall.precursor synthesis.sugar kinases.arabinose-1-kinase	1	1
Pp1s15_465V6.1	3009	10.1.30.2	ell wall.precursor synthesis.sugar kinases.arabinose-1-kinase	1	1
Pp1s365_31V6.1	457	10.1.4	cell wall.precursor synthesis.UGD	5	1
Pp1s134_169V6.1	457	10.1.4	cell wall.precursor synthesis.UGD	5	1
Pp1s49_270V6.1	457	10.1.4	cell wall.precursor synthesis.UGD	5	1
Pp1s334_84V6.1	457	10.1.4	cell wall.precursor synthesis.UGD	5	1
Pp1s120_28V6.1	576	10.1.5	cell wall.precursor synthesis.UXS	6	1
Pp1s209_52V6.1	576	10.1.5	cell wall.precursor synthesis.UXS	6	1
Pp1s120_29V6.1	576	10.1.5	cell wall.precursor synthesis.UXS	6	1
Pp1s60_124V6.1	576	10.1.5	cell wall.precursor synthesis.UXS	6	1
Pp1s189_118V6.1	2271	10.1.5	cell wall.precursor synthesis.UXS	7	1
Pp1s52_81V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s11_253V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s52_81V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s11_253V6.3	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s52_81V6.3	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s11_253V6.4	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s91_143V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s114_82V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s38_222V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s114_82V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s298_54V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s114_82V6.3	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s38_222V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s11_253V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s46_116V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s2_497V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s219_17V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s219_17V6.1	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s2_497V6.3	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s2_497V6.2	416	10.1.6	cell wall.precursor synthesis.GAE	6	2
Pp1s169_107V6.1	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s444_21V6.1	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s169_107V6.2	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s169_107V6.3	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s177_34V6.1	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s177_34V6.2	3561	10.1.7	cell wall.precursor synthesis.GMD	2	1
Pp1s293_87V6.4	5572	10.1.8	cell wall.precursor synthesis.GER	4	1
Pp1s293_87V6.1	5572	10.1.8	cell wall.precursor synthesis.GER	4	1
Pp1s293_87V6.3	5572	10.1.8	cell wall.precursor synthesis.GER	4	1
Pp1s293_87V6.2	5572	10.1.8	cell wall.precursor synthesis.GER	4	1
Pp1s165_63V6.1	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s36_284V6.1	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s59_345V6.2	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s36_284V6.2	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s59_345V6.4	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s277_57V6.1	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s59_345V6.1	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s59_345V6.3	848	10.1.9	cell wall.precursor synthesis.MUR4	6	1
Pp1s184_99V6.1	20124	10.1.9	cell wall.precursor synthesis.MUR4	1	1
Pp1s65_194V6.1	220	10.2	cell wall.cellulose synthesis	7	1
Pp1s36_214V6.1	220	10.2	cell wall.cellulose synthesis	7	1
Pp1s36_62V6.1	220	10.2	cell wall.cellulose synthesis	7	1
Pp1s89_286V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s224_44V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s15_115V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s373_28V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s162_130V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s164_5V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s19_258V6.1	337	10.2	cell wall.cellulose synthesis	5	1
Pp1s35_333V6.1	960	10.2	cell wall.cellulose synthesis	1	1
Pp1s157_35V6.1	960	10.2	cell wall.cellulose synthesis	1	1
Pp1s190_6V6.1	960	10.2	cell wall.cellulose synthesis	1	1
Pp1s171_137V6.1	7544	10.2	cell wall.cellulose synthesis	1	1
Pp1s29_241V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s112_75V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s213_4V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s112_75V6.2	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s243_10V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s189_92V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s30_48V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s189_96V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s243_3V6.2	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s111_50V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s243_3V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s111_71V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s269_16V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s111_71V6.2	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s310_10V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s8_137V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s68_133V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s57_129V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s90_244V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s59_308V6.1	28	10.2.1	cell wall.cellulose synthesis.cellulose synthase	16	1
Pp1s36_214V6.1	220	10.2.1	cell wall.cellulose synthesis.cellulose synthase	4	1
Pp1s65_194V6.1	220	10.2.1	cell wall.cellulose synthesis.cellulose synthase	4	1
Pp1s36_62V6.1	220	10.2.1	cell wall.cellulose synthesis.cellulose synthase	4	1
Pp1s84_123V6.1	385	10.2.2	cell wall.cellulose synthesis.COBRA	4	1
Pp1s246_54V6.1	385	10.2.2	cell wall.cellulose synthesis.COBRA	4	1
Pp1s44_119V6.1	385	10.2.2	cell wall.cellulose synthesis.COBRA	4	1
Pp1s163_84V6.1	303	10.3	cell wall.hemicellulose synthesis	2	1
Pp1s237_65V6.1	303	10.3	cell wall.hemicellulose synthesis	2	1
Pp1s126_53V6.1	926	10.3	cell wall.hemicellulose synthesis	10	1
Pp1s352_42V6.1	926	10.3	cell wall.hemicellulose synthesis	10	1
Pp1s28_329V6.1	926	10.3	cell wall.hemicellulose synthesis	10	1
Pp1s106_65V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s45_211V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s169_88V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s39_178V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s30_180V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s48_110V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s326_70V6.1	1346	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s92_112V6.1	1578	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s92_122V6.1	1578	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s210_35V6.1	5994	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s210_35V6.2	5994	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s34_108V6.1	10036	10.3	cell wall.hemicellulose synthesis	1	1
Pp1s530_2V6.1	6766	10.3.1.1	cell wall.hemicellulose synthesis.xyloglucan.XXXG galactose Transferase	1	1
Pp1s1_428V6.1	6766	10.3.1.1	cell wall.hemicellulose synthesis.xyloglucan.XXXG galactose Transferase	1	1
Pp1s530_5V6.1	6766	10.3.1.1	cell wall.hemicellulose synthesis.xyloglucan.XXXG galactose Transferase	1	1
Pp1s16_361V6.1	1201	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s10_95V6.1	1201	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s18_97V6.1	1201	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s78_128V6.1	4620	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s19_221V6.1	4620	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s248_13V6.1	4620	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	1	1
Pp1s13_216V6.1	5930	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	2	1
Pp1s315_20V6.1	5930	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	2	1
Pp1s217_58V6.1	5930	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	2	1
Pp1s217_58V6.2	5930	10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan	2	1
Pp1s128_25V6.1	386	10.4.1.1	cell wall.pectin synthesis.homogalacturonan.Galacturonic Acid Trnasferase	1	1
Pp1s21_294V6.1	386	10.4.1.1	cell wall.pectin synthesis.homogalacturonan.Galacturonic Acid Trnasferase	1	1
Pp1s251_8V6.1	386	10.4.1.1	cell wall.pectin synthesis.homogalacturonan.Galacturonic Acid Trnasferase	1	1
Pp1s19_296V6.1	10126	10.4.3.6	cell wall.pectin synthesis.rhamnogalacturonan II.Xylose  Transferase with Fucose Acceptor	1	1
Pp1s204_97V6.1	1708	10.5	cell wall.cell wall proteins	1	1
Pp1s204_97V6.2	1708	10.5	cell wall.cell wall proteins	1	1
Pp1s37_241V6.1	7490	10.5	cell wall.cell wall proteins	1	1
Pp1s88_59V6.1	1852	10.5.1	cell wall.cell wall proteins.AGPs	3	1
Pp1s402_51V6.1	1852	10.5.1	cell wall.cell wall proteins.AGPs	3	1
Pp1s159_160V6.1	6334	10.5.1	cell wall.cell wall proteins.AGPs	2	1
Pp1s130_236V6.1	6334	10.5.1	cell wall.cell wall proteins.AGPs	2	1
Pp1s13_239V6.1	6334	10.5.1	cell wall.cell wall proteins.AGPs	2	1
Pp1s287_63V6.1	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s118_151V6.1	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s287_63V6.2	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s96_30V6.1	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s35_305V6.1	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s287_63V6.3	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s35_242V6.1	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s35_242V6.2	562	10.5.3	cell wall.cell wall proteins.LRR	6	1
Pp1s184_55V6.1	1122	10.5.3	cell wall.cell wall proteins.LRR	1	1
Pp1s387_10V6.1	1122	10.5.3	cell wall.cell wall proteins.LRR	1	1
Pp1s49_183V6.1	1122	10.5.3	cell wall.cell wall proteins.LRR	1	1
Pp1s131_34V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s66_157V6.2	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s131_30V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s66_154V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s131_32V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s66_155V6.2	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s180_12V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s66_155V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s66_157V6.1	644	10.5.5	cell wall.cell wall proteins.RGP	3	1
Pp1s55_61V6.2	1655	10.6	cell wall.degradation	1	1
Pp1s55_61V6.1	1655	10.6	cell wall.degradation	1	1
Pp1s1821_1V6.1	115	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	8	1
Pp1s309_65V6.1	115	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	8	1
Pp1s309_65V6.2	115	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	8	1
Pp1s217_8V6.1	115	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	8	1
Pp1s49_195V6.1	115	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	8	1
Pp1s149_10V6.1	288	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s37_355V6.1	288	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s176_127V6.1	288	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s53_97V6.1	288	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s170_4V6.1	2512	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	3	1
Pp1s87_194V6.1	2512	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	3	1
Pp1s100_161V6.1	2512	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	3	1
Pp1s60_116V6.1	3578	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s308_21V6.1	3578	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	1	1
Pp1s10_144V6.1	35	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s24_113V6.1	35	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s189_65V6.1	35	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s189_71V6.1	35	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s196_21V6.2	99	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	7	1
Pp1s196_21V6.1	99	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	7	1
Pp1s406_3V6.1	99	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	7	1
Pp1s115_190V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s429_16V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s180_63V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s22_64V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s5_225V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s41_160V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s53_47V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s23_181V6.2	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s53_47V6.2	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s23_181V6.1	185	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s106_48V6.1	571	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s317_21V6.1	571	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s106_48V6.2	571	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	2	1
Pp1s55_131V6.2	1349	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s55_131V6.1	1349	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s121_107V6.1	2047	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s299_60V6.1	2047	10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose	1	1
Pp1s117_149V6.1	202	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	7	1
Pp1s60_134V6.1	202	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	7	1
Pp1s112_172V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s563_1V6.2	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s173_162V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s67_160V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s35_79V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s563_1V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s355_16V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s84_82V6.1	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s563_1V6.3	334	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	11	1
Pp1s298_14V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s56_133V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s298_14V6.2	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s15_23V6.2	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s204_70V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s15_23V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s374_47V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s26_27V6.1	676	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s104_31V6.1	1239	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s252_60V6.1	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s18_221V6.1	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s20_252V6.1	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s294_11V6.1	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s194_34V6.1	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s20_252V6.2	2422	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s17_289V6.1	3887	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	3	1
Pp1s60_185V6.1	4063	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	2	1
Pp1s37_38V6.1	4776	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s37_38V6.4	4776	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s37_38V6.2	4776	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s37_38V6.3	4776	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s18_211V6.1	6077	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s375_23V6.1	7280	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s116_9V6.1	7280	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s16_66V6.1	8808	10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	1	1
Pp1s309_28V6.2	390	10.7	cell wall.modification	4	1
Pp1s168_54V6.1	390	10.7	cell wall.modification	4	1
Pp1s309_38V6.2	390	10.7	cell wall.modification	4	1
Pp1s168_29V6.1	390	10.7	cell wall.modification	4	1
Pp1s4_32V6.1	390	10.7	cell wall.modification	4	1
Pp1s309_28V6.1	390	10.7	cell wall.modification	4	1
Pp1s4_43V6.4	390	10.7	cell wall.modification	4	1
Pp1s4_43V6.2	390	10.7	cell wall.modification	4	1
Pp1s272_49V6.1	390	10.7	cell wall.modification	4	1
Pp1s309_38V6.1	390	10.7	cell wall.modification	4	1
Pp1s26_126V6.1	390	10.7	cell wall.modification	4	1
Pp1s4_43V6.3	390	10.7	cell wall.modification	4	1
Pp1s309_41V6.1	390	10.7	cell wall.modification	4	1
Pp1s4_43V6.1	390	10.7	cell wall.modification	4	1
Pp1s97_66V6.1	1082	10.7	cell wall.modification	2	1
Pp1s223_71V6.1	1082	10.7	cell wall.modification	2	1
Pp1s84_92V6.1	1082	10.7	cell wall.modification	2	1
Pp1s363_43V6.1	1085	10.7	cell wall.modification	7	1
Pp1s52_107V6.1	1085	10.7	cell wall.modification	7	1
Pp1s251_59V6.1	2007	10.7	cell wall.modification	2	1
Pp1s7_116V6.1	2007	10.7	cell wall.modification	2	1
Pp1s313_59V6.1	2007	10.7	cell wall.modification	2	1
Pp1s97_163V6.1	2007	10.7	cell wall.modification	2	1
Pp1s313_58V6.1	2007	10.7	cell wall.modification	2	1
Pp1s97_140V6.1	2007	10.7	cell wall.modification	2	1
Pp1s147_37V6.1	2007	10.7	cell wall.modification	2	1
Pp1s100_99V6.1	2007	10.7	cell wall.modification	2	1
Pp1s5_240V6.1	3504	10.7	cell wall.modification	2	1
Pp1s74_19V6.1	3504	10.7	cell wall.modification	2	1
Pp1s97_80V6.1	4915	10.7	cell wall.modification	1	1
Pp1s217_57V6.1	116	10.8.1	cell wall.pectin*esterases.PME	1	1
Pp1s96_59V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s318_61V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s95_94V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s32_31V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s149_288V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s35_267V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s378_15V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s258_34V6.1	809	10.8.1	cell wall.pectin*esterases.PME	4	1
Pp1s382_22V6.1	4469	10.8.1	cell wall.pectin*esterases.PME	1	1
Pp1s216_42V6.1	4469	10.8.1	cell wall.pectin*esterases.PME	1	1
