accession	annotator_id	csid	date	value	source
PhpapaCp037	cosmoss		2010-09-08 20:09:45	rps4	gb|NC_005087
PhpapaCp038	cosmoss		2010-09-08 20:09:45	ycf3	gb|NC_005087
PhpapaCp039	cosmoss		2010-09-08 20:09:45	psaA	gb|NC_005087
PhpapaCp040	cosmoss		2010-09-08 20:09:45	psaB	gb|NC_005087
PhpapaCp041	cosmoss		2010-09-08 20:09:45	rps14	gb|NC_005087
PhpapaCp042	cosmoss		2010-09-08 20:09:45	psbZ	gb|NC_005087
PhpapaCp043	cosmoss		2010-09-08 20:09:45	psbC	gb|NC_005087
PhpapaCp044	cosmoss		2010-09-08 20:09:45	psbD	gb|NC_005087
PhpapaCp045	cosmoss		2010-09-08 20:09:45	ycf2	gb|NC_005087
PhpapaCp046	cosmoss		2010-09-08 20:09:45	psbA	gb|NC_005087
PhpapaCp047	cosmoss		2010-09-08 20:09:45	matK	gb|NC_005087
PhpapaCp048	cosmoss		2010-09-08 20:09:45	chlB	gb|NC_005087
PhpapaCp049	cosmoss		2010-09-08 20:09:45	psbK	gb|NC_005087
PhpapaCp050	cosmoss		2010-09-08 20:09:45	psbI	gb|NC_005087
PhpapaCp051	cosmoss		2010-09-08 20:09:45	psaM	gb|NC_005087
PhpapaCp052	cosmoss		2010-09-08 20:09:45	ycf12	gb|NC_005087
PhpapaCp053	cosmoss		2010-09-08 20:09:45	atpA	gb|NC_005087
PhpapaCp054	cosmoss		2010-09-08 20:09:45	atpF	gb|NC_005087
PhpapaCp055	cosmoss		2010-09-08 20:09:45	atpH	gb|NC_005087
PhpapaCp056	cosmoss		2010-09-08 20:09:45	atpI	gb|NC_005087
PhpapaCp057	cosmoss		2010-09-08 20:09:45	rps2	gb|NC_005087
PhpapaCp058	cosmoss		2010-09-08 20:09:45	rpoC2	gb|NC_005087
PhpapaCp059	cosmoss		2010-09-08 20:09:45	rpoC1	gb|NC_005087
PhpapaCp060	cosmoss		2010-09-08 20:09:45	rpoB	gb|NC_005087
PhpapaCp061	cosmoss		2010-09-08 20:09:45	rps11	gb|NC_005087
PhpapaCp062	cosmoss		2010-09-08 20:09:45	rpl36	gb|NC_005087
PhpapaCp063	cosmoss		2010-09-08 20:09:45	infA	gb|NC_005087
PhpapaCp064	cosmoss		2010-09-08 20:09:45	rps8	gb|NC_005087
PhpapaCp065	cosmoss		2010-09-08 20:09:45	rpl14	gb|NC_005087
PhpapaCp066	cosmoss		2010-09-08 20:09:45	rpl16	gb|NC_005087
PhpapaCp067	cosmoss		2010-09-08 20:09:45	rps3	gb|NC_005087
PhpapaCp068	cosmoss		2010-09-08 20:09:45	rpl22	gb|NC_005087
PhpapaCp069	cosmoss		2010-09-08 20:09:45	rps19	gb|NC_005087
PhpapaCp070	cosmoss		2010-09-08 20:09:45	rpl2	gb|NC_005087
PhpapaCp071	cosmoss		2010-09-08 20:09:45	rpl23	gb|NC_005087
PhpapaCp072	cosmoss		2010-09-08 20:09:45	ndhF	gb|NC_005087
PhpapaCp073	cosmoss		2010-09-08 20:09:45	rpl21	gb|NC_005087
PhpapaCp074	cosmoss		2010-09-08 20:09:45	rpl32	gb|NC_005087
PhpapaCp075	cosmoss		2010-09-08 20:09:45	ndhD	gb|NC_005087
PhpapaCp076	cosmoss		2010-09-08 20:09:45	psaC	gb|NC_005087
PhpapaCp077	cosmoss		2010-09-08 20:09:45	ndhE	gb|NC_005087
PhpapaCp078	cosmoss		2010-09-08 20:09:45	ndhG	gb|NC_005087
PhpapaCp079	cosmoss		2010-09-08 20:09:45	ndhI	gb|NC_005087
PhpapaCp080	cosmoss		2010-09-08 20:09:45	ndhA	gb|NC_005087
